it=(   100/ 10000), ETA=00:00:21, Time/Step=   0.0021[s] , MAX = (  0.00E+00 0.00E+00 )
it=(   200/ 10000), ETA=00:00:19, Time/Step=   0.0020[s] , MAX = (  0.00E+00 0.00E+00 )
it=(   300/ 10000), ETA=00:00:19, Time/Step=   0.0020[s] , MAX = (  0.00E+00 0.00E+00 )
it=(   400/ 10000), ETA=00:00:18, Time/Step=   0.0020[s] , MAX = (  0.00E+00 0.00E+00 )
it=(   500/ 10000), ETA=00:00:18, Time/Step=   0.0019[s] , MAX = (  0.00E+00 0.00E+00 )
it=(   600/ 10000), ETA=00:00:18, Time/Step=   0.0019[s] , MAX = (  4.08E-33 4.61E-31 )
it=(   700/ 10000), ETA=00:00:17, Time/Step=   0.0019[s] , MAX = (  1.91E-26 3.50E-25 )
it=(   800/ 10000), ETA=00:00:17, Time/Step=   0.0019[s] , MAX = (  6.36E-21 7.69E-20 )
it=(   900/ 10000), ETA=00:00:17, Time/Step=   0.0019[s] , MAX = (  5.27E-16 1.20E-14 )
it=(  1000/ 10000), ETA=00:00:17, Time/Step=   0.0019[s] , MAX = (  3.94E-12 2.01E-10 )
it=(  1100/ 10000), ETA=00:00:16, Time/Step=   0.0019[s] , MAX = (  1.10E-08 5.79E-07 )
it=(  1200/ 10000), ETA=00:00:16, Time/Step=   0.0019[s] , MAX = (  1.87E-05 3.82E-04 )
it=(  1300/ 10000), ETA=00:00:16, Time/Step=   0.0019[s] , MAX = (  2.53E-04 8.38E-04 )
it=(  1400/ 10000), ETA=00:00:16, Time/Step=   0.0019[s] , MAX = (  3.60E-04 8.38E-04 )
it=(  1500/ 10000), ETA=00:00:16, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  1600/ 10000), ETA=00:00:15, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  1700/ 10000), ETA=00:00:15, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
