# medium parameter
# number of layers
# N0., RO (t/m3), Vp(km/s), Vs(km/s)
# 
23
1  1.80 1.7 0.35
2  1.95 1.8 0.50
3  2.00 2.0 0.60
4  2.05 2.1 0.70
5  2.07 2.2 0.80
6  2.10 2.3 0.90
7  2.15 2.4 1.00
8  2.20 2.7 1.30
9  2.25 3.0 1.50
10  2.30 3.2 1.70
11  2.35 3.5 2.00
12  2.45 4.2 2.40
13  2.60 5.0 2.90
14  2.65 5.5 3.20
15  2.70 5.8 3.40
16  2.80 6.4 3.80
17  3.20 7.5 4.50
18  2.40 5.0 2.90
19  2.90 6.8 4.00
20  3.20 8.0 4.70
21  2.60 5.4 2.80
22  2.80 6.5 3.50
23  3.40 8.1 4.60


